Date,Open,High,Low,Close,Volume,Adj Close
2018/6/14,20.49,20.49,20.49,20.49,481,20.49
2018/6/13,19.34,19.34,19.34,19.34,14000,19.34
2018/6/12,21.49,21.49,21.49,21.49,1001,21.49
2018/6/11,20.15,20.15,20.15,20.15,21012,20.15
2018/6/8,18.32,18.32,18.32,18.32,5070,18.32
2018/6/7,20.34,20.34,20.34,20.34,10994,20.34
2018/6/6,20.51,20.51,20.51,20.51,14024,20.51
2018/6/4,22.79,22.79,22.79,22.79,45000,22.79
2018/6/1,22.34,22.34,22.34,22.34,62909,22.34
2018/5/31,22.39,22.39,22.39,22.39,55590,22.39
2018/5/30,21.86,21.86,21.86,21.86,44398,21.86
2018/5/29,21.63,21.63,21.63,21.63,49065,21.63
2018/5/28,19.66,19.66,19.66,19.66,1600,19.66
2018/5/25,21.62,21.62,21.62,21.62,62894,21.62
2018/5/24,21.61,21.61,21.61,21.61,9042,21.61
2018/5/23,21.61,21.61,21.61,21.61,29388,21.61
2018/5/16,20.57,20.57,20.57,20.57,11,20.57
2018/5/15,22.40,22.40,22.40,22.40,9303,22.40
2018/5/10,21.91,21.91,21.91,21.91,6731,21.91
2018/5/9,22.07,22.07,22.07,22.07,5381,22.07
2018/5/8,20.06,20.06,20.06,20.06,1,20.06
2018/5/3,22.29,22.29,22.29,22.29,3500,22.29
2018/5/2,20.26,20.26,20.26,20.26,5160,20.26
2018/4/27,18.48,18.48,18.48,18.48,12639,18.48
2018/4/26,18.33,18.33,18.33,18.33,7588,18.33
2018/4/25,18.52,18.52,18.52,18.52,9271,18.52
2018/4/24,18.71,18.71,18.71,18.71,12332,18.71
2018/4/23,18.99,18.99,18.99,18.99,32136,18.99
2018/4/20,19.69,19.69,19.69,19.69,21338,19.69
2018/4/19,19.45,19.45,19.45,19.45,19306,19.45
2018/4/18,19.53,19.53,19.53,19.53,111448,19.53
2018/4/17,19.84,19.84,19.84,19.84,22900,19.84
2018/4/16,20.01,20.01,20.01,20.01,17422,20.01
2018/4/12,20.00,20.00,20.00,20.00,7784,20.00
2018/3/23,20.00,20.00,20.00,20.00,2302,20.00
2018/3/22,19.00,19.00,19.00,19.00,1754,19.00
2018/3/21,17.50,17.50,17.50,17.50,8675,17.50
2018/3/20,16.46,16.46,16.46,16.46,6986,16.46
2018/3/19,15.79,15.79,15.79,15.79,7795,15.79
2018/3/16,14.82,14.82,14.82,14.82,17053,14.82
2018/3/15,14.91,14.91,14.91,14.91,13865,14.91
2018/3/14,15.10,15.10,15.10,15.10,9234,15.10
2018/3/13,15.17,15.17,15.17,15.17,6553,15.17
2018/3/12,14.98,14.98,14.98,14.98,12854,14.98
2018/3/9,15.15,15.15,15.15,15.15,4105,15.15
2018/3/8,15.66,15.66,15.66,15.66,6428,15.66
2018/3/7,16.11,16.11,16.11,16.11,6766,16.11
2018/3/6,15.85,15.85,15.85,15.85,6469,15.85
2018/3/5,15.79,15.79,15.79,15.79,3773,15.79
2018/3/2,16.69,16.69,16.69,16.69,4370,16.69
2018/3/1,16.58,16.58,16.58,16.58,5206,16.58
2018/2/28,16.49,16.49,16.49,16.49,2285,16.49
2018/2/27,16.00,16.00,16.00,16.00,1400,16.00
2018/2/26,17.30,17.30,17.30,17.30,1300,17.30
2018/2/23,17.00,17.00,17.00,17.00,1400,17.00
2018/2/22,18.77,18.77,18.77,18.77,1239,18.77
2018/2/9,17.99,17.99,17.99,17.99,4524,17.99
2018/2/8,18.09,18.09,18.09,18.09,2478,18.09
2018/2/7,18.54,18.54,18.54,18.54,1423,18.54
2018/2/6,19.10,19.10,19.10,19.10,1438,19.10
2018/2/5,19.12,19.12,19.12,19.12,1405,19.12
2018/2/2,19.52,19.52,19.52,19.52,2048,19.52
2018/2/1,19.75,19.75,19.75,19.75,1005,19.75
2018/1/30,20.56,20.56,20.56,20.56,245,20.56
2018/1/29,19.00,19.00,19.00,19.00,754,19.00
2018/1/26,19.20,19.20,19.20,19.20,1690,19.20
2018/1/25,18.82,18.82,18.82,18.82,7744,18.82
2018/1/24,19.20,19.20,19.20,19.20,1111,19.20
2018/1/23,17.58,17.58,17.58,17.58,1218,17.58
2018/1/22,17.77,17.77,17.77,17.77,684,17.77
2018/1/19,17.23,17.23,17.23,17.23,533,17.23
2018/1/18,16.13,16.13,16.13,16.13,17274,16.13
