Date,Open,High,Low,Close,Volume,Adj Close
2019/7/19,87.2,87.2,87.2,87.2,9317,87.2
2019/7/18,87.21,87.21,87.21,87.21,36830,87.21
2019/7/17,87.17,87.17,87.17,87.17,64180,87.17
2019/7/16,86.87,86.87,86.87,86.87,24859,86.87
2019/7/15,86.94,86.94,86.94,86.94,13890,86.94
2019/7/12,86.08,86.08,86.08,86.08,20527,86.08
2019/7/11,86.71,86.71,86.71,86.71,13217,86.71
2019/7/9,86.71,86.71,86.71,86.71,54968,86.71
2019/7/8,86.79,86.79,86.79,86.79,10956,86.79
2019/7/5,86.9,86.9,86.9,86.9,123,86.9
2019/7/4,84.9,84.9,84.9,84.9,47682,84.9
2019/7/3,84.46,84.46,84.46,84.46,22493,84.46
2019/7/2,87.04,87.04,87.04,87.04,16075,87.04
2019/7/1,87.21,87.21,87.21,87.21,48292,87.21
2019/6/28,87.3,87.3,87.3,87.3,11600,87.3
2019/6/27,87.26,87.26,87.26,87.26,15581,87.26
2019/6/26,87.2,87.2,87.2,87.2,238,87.2
2019/6/25,82.14,82.14,82.14,82.14,12295,82.14
2019/6/24,81.96,81.96,81.96,81.96,29611,81.96
2019/6/21,87.47,87.47,87.47,87.47,69492,87.47
2019/6/20,84.56,84.56,84.56,84.56,28468,84.56
2019/6/19,83.21,83.21,83.21,83.21,22651,83.21
2019/6/18,86.92,86.92,86.92,86.92,6969,86.92
2019/6/17,87,87,87,87,200,87
2019/6/14,87.33,87.33,87.33,87.33,300,87.33
2019/6/13,81.86,81.86,81.86,81.86,11918,81.86
2019/6/12,81.9,81.9,81.9,81.9,200,81.9
2019/6/11,81.09,81.09,81.09,81.09,9941,81.09
2019/6/10,81.04,81.04,81.04,81.04,1481,81.04
2019/6/6,78,78,78,78,200,78
2019/6/5,77.37,77.37,77.37,77.37,40778,77.37
2019/6/4,77.36,77.36,77.36,77.36,1102,77.36
2019/6/3,71.82,71.82,71.82,71.82,6053,71.82
2019/5/31,65.9,65.9,65.9,65.9,1,65.9
2019/5/30,82.41,82.41,82.41,82.41,1283,82.41
2019/5/24,82.49,82.49,82.49,82.49,29300,82.49
2019/5/22,82.05,82.05,82.05,82.05,46268,82.05
2019/5/21,83.88,83.88,83.88,83.88,715,83.88
2019/5/20,77.12,77.12,77.12,77.12,24656,77.12
2019/5/17,73.66,73.66,73.66,73.66,34526,73.66
2019/5/16,69.48,69.48,69.48,69.48,30856,69.48
2019/5/15,62.51,62.51,62.51,62.51,9618,62.51
2019/5/14,77.88,77.88,77.88,77.88,4378,77.88
2019/5/13,77.1,77.1,77.1,77.1,200,77.1
2019/5/10,75.75,75.75,75.75,75.75,183,75.75
2019/5/9,75.47,75.47,75.47,75.47,8027,75.47
2019/5/8,75.37,75.37,75.37,75.37,14215,75.37
2019/4/30,75.59,75.59,75.59,75.59,1970,75.59
2019/4/29,74.34,74.34,74.34,74.34,25138,74.34
2019/4/26,75.03,75.03,75.03,75.03,4800,75.03
2019/4/25,73.81,73.81,73.81,73.81,26784,73.81
2019/4/24,77.49,77.49,77.49,77.49,13996,77.49
2019/4/23,73.72,73.72,73.72,73.72,16255,73.72
2019/4/22,73.67,73.67,73.67,73.67,12486,73.67
2019/4/19,72.43,72.43,72.43,72.43,39769,72.43
2019/4/11,74.02,74.02,74.02,74.02,2176,74.02
2019/4/10,74.12,74.12,74.12,74.12,11868,74.12
2019/4/8,74.44,74.44,74.44,74.44,18,74.44
2019/4/4,73,73,73,73,100,73
2019/4/2,70.28,70.28,70.28,70.28,3313,70.28
2019/3/29,69.82,69.82,69.82,69.82,2357,69.82
2019/3/28,69.29,69.29,69.29,69.29,3442,69.29
2019/3/27,68.1,68.1,68.1,68.1,2,68.1
2019/3/22,67.5,67.5,67.5,67.5,2,67.5
2019/3/18,67.94,67.94,67.94,67.94,10,67.94
2019/3/13,67,67,67,67,8,67
2019/3/11,68.4,68.4,68.4,68.4,50,68.4
2019/3/8,66.5,66.5,66.5,66.5,100,66.5
2019/3/7,65,65,65,65,100,65
2019/3/6,63.67,63.67,63.67,63.67,150,63.67
2019/3/5,61.79,61.79,61.79,61.79,140,61.79
2019/2/25,60.65,60.65,60.65,60.65,10,60.65
2019/2/22,60.79,60.79,60.79,60.79,1172,60.79
2019/1/29,60.5,60.5,60.5,60.5,17500,60.5
2019/1/25,74,74,74,74,6000,74
2019/1/24,62.5,62.5,62.5,62.5,1400,62.5
2019/1/18,60.1,60.1,60.1,60.1,500,60.1
2019/1/4,75.1,75.1,75.1,75.1,1000,75.1
2019/1/3,71,71,71,71,818,71
2019/1/2,65.06,65.06,65.06,65.06,457,65.06
2018/12/28,57.03,57.03,57.03,57.03,6783,57.03
2018/12/27,58.73,58.73,58.73,58.73,4460,58.73
2018/12/26,51.54,51.54,51.54,51.54,52,51.54
2018/12/25,50,50,50,50,100,50
2018/12/24,45.5,45.5,45.5,45.5,240,45.5
2018/12/21,40,40,40,40,30003,40
2018/12/20,40,40,40,40,29998,40
2018/12/19,42,42,42,42,600,42
2018/12/18,42,42,42,42,2500,42
2018/12/17,49.98,49.98,49.98,49.98,1559,49.98
2018/12/14,50.1,50.1,50.1,50.1,1000,50.1
2018/12/13,49.09,49.09,49.09,49.09,9740,49.09
2018/12/12,52.37,52.37,52.37,52.37,13003,52.37
2018/12/11,50.04,50.04,50.04,50.04,5351,50.04
2018/12/10,45.55,45.55,45.55,45.55,9001,45.55
2018/12/7,54.2,54.2,54.2,54.2,400,54.2
2018/12/6,58.78,58.78,58.78,58.78,14516,58.78
2018/12/5,57.59,57.59,57.59,57.59,1626,57.59
2018/12/4,55.46,55.46,55.46,55.46,5819,55.46
2018/12/3,51.64,51.64,51.64,51.64,3731,51.64
2018/11/30,50.89,50.89,50.89,50.89,401,50.89
2018/11/29,51.29,51.29,51.29,51.29,225,51.29
2018/11/28,50.33,50.33,50.33,50.33,14426,50.33
2018/11/27,50.16,50.16,50.16,50.16,7502,50.16
2018/11/23,43.59,43.59,43.59,43.59,559,43.59
2018/11/22,41.4,41.4,41.4,41.4,994,41.4
2018/11/21,35,35,35,35,1999,35
2018/11/20,37.8,37.8,37.8,37.8,486,37.8
2018/11/19,41.3,41.3,41.3,41.3,498,41.3
2018/11/16,45.47,45.47,45.47,45.47,212,45.47
2018/11/15,47,47,47,47,8,47
2018/11/7,47.1,47.1,47.1,47.1,500,47.1
2018/11/5,49.42,49.42,49.42,49.42,44000,49.42
2018/11/2,43.9,43.9,43.9,43.9,116534,43.9
2018/11/1,43.8,43.8,43.8,43.8,30497,43.8
2018/10/31,51.69,51.69,51.69,51.69,46996,51.69
2018/10/30,50.2,50.2,50.2,50.2,500,50.2
2018/10/29,61.2,61.2,61.2,61.2,500,61.2
2018/10/9,74.6,74.6,74.6,74.6,9170,74.6
2018/10/8,64,64,64,64,229,64
2018/9/28,55.6,55.6,55.6,55.6,2000,55.6
2018/9/27,46.3,46.3,46.3,46.3,3500,46.3
2018/9/26,38.6,38.6,38.6,38.6,9999,38.6
2018/9/25,32.22,32.22,32.22,32.22,24406,32.22
2018/9/21,31.11,31.11,31.11,31.11,20069,31.11
2018/9/20,30.32,30.32,30.32,30.32,110535,30.32
2018/9/19,30.44,30.44,30.44,30.44,5295,30.44
2018/9/18,36.15,36.15,36.15,36.15,13833,36.15
2018/9/17,41,41,41,41,1,41
2018/9/14,51.2,51.2,51.2,51.2,15,51.2
2018/9/6,64,64,64,64,9875,64
2018/9/3,67.51,67.51,67.51,67.51,1883,67.51
2018/8/28,69.6,69.6,69.6,69.6,4305,69.6
2018/8/22,70.63,70.63,70.63,70.63,2035,70.63
2018/8/20,70.6,70.6,70.6,70.6,4,70.6
2018/8/15,70.6,70.6,70.6,70.6,7010,70.6
2018/8/14,70.31,70.31,70.31,70.31,17310,70.31
2018/8/10,71.11,71.11,71.11,71.11,9575,71.11
2018/8/9,70.71,70.71,70.71,70.71,22225,70.71
2018/8/7,70.49,70.49,70.49,70.49,19640,70.49
2018/8/6,70.9,70.9,70.9,70.9,100,70.9
2018/8/3,70.74,70.74,70.74,70.74,19117,70.74
2018/8/2,70.12,70.12,70.12,70.12,19275,70.12
2018/8/1,69.62,69.62,69.62,69.62,17081,69.62
2018/7/31,70.02,70.02,70.02,70.02,30798,70.02
2018/7/30,70.24,70.24,70.24,70.24,125260,70.24
2018/7/27,69.52,69.52,69.52,69.52,63045,69.52
2018/7/26,70.11,70.11,70.11,70.11,118481,70.11
2018/7/25,69.33,69.33,69.33,69.33,137773,69.33
2018/7/24,69.83,69.83,69.83,69.83,47471,69.83
2018/7/23,68.09,68.09,68.09,68.09,132756,68.09
2018/7/20,69.44,69.44,69.44,69.44,66601,69.44
2018/7/19,68.46,68.46,68.46,68.46,52023,68.46
2018/7/18,68.11,68.11,68.11,68.11,119259,68.11
2018/7/17,68.99,68.99,68.99,68.99,61705,68.99
2018/7/16,68.86,68.86,68.86,68.86,46251,68.86
2018/7/13,68.72,68.72,68.72,68.72,26235,68.72
2018/7/12,68.31,68.31,68.31,68.31,42514,68.31
2018/7/11,68.18,68.18,68.18,68.18,68642,68.18
2018/7/10,69.1,69.1,69.1,69.1,26792,69.1
2018/7/9,69.23,69.23,69.23,69.23,8035,69.23
2018/7/6,69.32,69.32,69.32,69.32,11011,69.32
2018/7/5,69.1,69.1,69.1,69.1,3230,69.1
2018/7/4,69.4,69.4,69.4,69.4,42996,69.4
2018/7/3,68.75,68.75,68.75,68.75,16985,68.75
2018/7/2,68.05,68.05,68.05,68.05,6629,68.05
2018/6/29,67.31,67.31,67.31,67.31,13498,67.31
2018/6/28,64.85,64.85,64.85,64.85,63959,64.85
2018/6/27,62.43,62.43,62.43,62.43,16261,62.43
2018/6/26,59.66,59.66,59.66,59.66,83836,59.66
2018/6/25,54.54,54.54,54.54,54.54,45104,54.54
2018/6/22,51.01,51.01,51.01,51.01,93144,51.01
2018/6/21,44.01,44.01,44.01,44.01,21036,44.01
2018/6/20,48.14,48.14,48.14,48.14,27565,48.14
2018/6/19,40.71,40.71,40.71,40.71,48597,40.71
2018/6/15,36.04,36.04,36.04,36.04,175876,36.04
2018/6/14,34.18,34.18,34.18,34.18,263,34.18
2018/6/13,40.48,40.48,40.48,40.48,23676,40.48
2018/6/12,44.9,44.9,44.9,44.9,14250,44.9
2018/6/11,56.14,56.14,56.14,56.14,29853,56.14
2018/6/8,65.84,65.84,65.84,65.84,30206,65.84
2018/6/7,65.91,65.91,65.91,65.91,28598,65.91
2018/6/6,64.95,64.95,64.95,64.95,32463,64.95
2018/6/5,64.07,64.07,64.07,64.07,1330,64.07
2018/6/4,63.42,63.42,63.42,63.42,8572,63.42
2018/6/1,62.47,62.47,62.47,62.47,11600,62.47
2018/5/31,61.68,61.68,61.68,61.68,21998,61.68
2018/5/30,61.05,61.05,61.05,61.05,14000,61.05
2018/5/28,60.12,60.12,60.12,60.12,32805,60.12
2018/5/25,59.85,59.85,59.85,59.85,33449,59.85
2018/5/24,59.6,59.6,59.6,59.6,500,59.6
2018/5/23,59.2,59.2,59.2,59.2,200,59.2
2018/5/22,58.73,58.73,58.73,58.73,8749,58.73
2018/5/21,57.11,57.11,57.11,57.11,11500,57.11
2018/5/18,57.11,57.11,57.11,57.11,31045,57.11
2018/5/17,53.97,53.97,53.97,53.97,44557,53.97
2018/5/16,49.48,49.48,49.48,49.48,52330,49.48
2018/5/15,50.02,50.02,50.02,50.02,35644,50.02
2018/5/14,47,47,47,47,385,47
2018/5/11,58.83,58.83,58.83,58.83,6026,58.83
2018/5/10,58.53,58.53,58.53,58.53,18102,58.53
2018/5/9,58.63,58.63,58.63,58.63,8900,58.63
2018/5/7,58.5,58.5,58.5,58.5,14824,58.5
2018/5/4,58.71,58.71,58.71,58.71,14248,58.71
2018/5/3,58.2,58.2,58.2,58.2,20,58.2
2018/4/27,57.65,57.65,57.65,57.65,4432,57.65
2018/4/25,57.4,57.4,57.4,57.4,2000,57.4
2018/4/24,47.82,47.82,47.82,47.82,9490,47.82
2018/4/20,52.24,52.24,52.24,52.24,27000,52.24
2018/4/19,47.1,47.1,47.1,47.1,2452,47.1
2018/4/13,58.92,58.92,58.92,58.92,5000,58.92
2018/4/12,50.76,50.76,50.76,50.76,7100,50.76
2018/4/11,53.39,53.39,53.39,53.39,702,53.39
2018/3/26,59.87,59.87,59.87,59.87,4200,59.87
2018/3/22,59.3,59.3,59.3,59.3,51,59.3
2018/3/21,58.51,58.51,58.51,58.51,37,58.51
2018/3/19,56.6,56.6,56.6,56.6,44,56.6
2018/3/14,53.5,53.5,53.5,53.5,9000,53.5
2018/2/8,56.2,56.2,56.2,56.2,33,56.2
2018/2/7,51.58,51.58,51.58,51.58,1672,51.58
2018/2/6,54.03,54.03,54.03,54.03,8506,54.03
2018/2/5,56,56,56,56,1,56
2018/2/1,56.4,56.4,56.4,56.4,96,56.4
2018/1/31,58,58,58,58,140,58
2018/1/30,55,55,55,55,120,55
2018/1/26,50.27,50.27,50.27,50.27,25740,50.27
2018/1/25,49.6,49.6,49.6,49.6,200,49.6
2018/1/24,41.3,41.3,41.3,41.3,600,41.3
2018/1/15,51.58,51.58,51.58,51.58,2880,51.58
2018/1/12,56,56,56,56,400,56
2018/1/11,51.8,51.8,51.8,51.8,1130,51.8
2018/1/10,43.2,43.2,43.2,43.2,1000,43.2
2017/12/29,54,54,54,54,15,54
2017/12/28,45.1,45.1,45.1,45.1,19999,45.1
2017/12/27,57.8,57.8,57.8,57.8,5,57.8
2017/12/22,56.38,56.38,56.38,56.38,339,56.38
2017/11/17,57.71,57.71,57.71,57.71,9100,57.71
