Date,Open,High,Low,Close,Volume,AdjClose
2020/4/1,40000,40000,40000,40000,5500,40000
2020/3/31,40350,40500,40050,40500,39809,40500
2020/3/30,40200,40350,40200,40350,6000,40350
2020/3/27,40300,40400,40050,40050,33300,40050
2020/3/26,40050,40300,40050,40050,100500,40050
2020/3/25,40200,40300,40100,40100,24500,40100
2020/3/24,40050,40450,40050,40050,23000,40050
2020/3/23,40100,40400,40050,40050,25000,40050
2020/3/20,40100,40450,40050,40050,31510,40050
2020/3/19,40200,40450,40200,40200,53500,40200
2020/3/18,40500,40500,40000,40000,32000,40000
2020/3/17,40500,40600,40200,40200,25740,40200
2020/3/16,40400,40450,40100,40450,20000,40450
2020/3/13,40300,40300,39950,40300,12600,40300
2020/3/12,39900,40500,39900,39900,39000,39900
2020/3/11,40200,40250,39800,39800,21600,39800
2020/3/10,40100,40100,39800,39800,6500,39800
2020/3/9,39800,39800,39800,39800,1500,39800
2020/3/6,39800,39800,39800,39800,0,39800
2020/3/5,39550,39600,39550,39600,10800,39600
2020/3/4,39750,40100,39700,40100,9000,40100
2020/3/3,39500,39500,39500,39500,10000,39500
2020/3/2,39350,39350,39350,39350,3000,39350
2020/2/28,39500,39500,39350,39350,15500,39350
2020/2/27,39600,39600,39350,39350,29250,39350
2020/2/26,39300,39300,39300,39300,4000,39300
2020/2/25,40000,40000,39000,39000,12000,39000
2020/2/24,39300,39300,39300,39300,1500,39300
2020/2/21,39300,39300,39300,39650,0,39650
2020/2/20,39650,39650,39650,39500,0,39500
2020/2/19,39400,39450,39400,39400,22000,39400
2020/2/18,39400,39400,39400,39400,0,39400
2020/2/17,38850,38850,38800,38800,18000,38800
2020/2/14,38800,38800,38800,38800,1500,38800
2020/2/13,38800,38800,38800,38800,1500,38800
2020/2/12,39400,39400,39150,39150,111000,39150
2020/2/11,39150,39150,39150,39050,0,39050
2020/2/10,37500,39000,37500,38800,4500,38800
2020/2/7,38000,38000,37100,37100,6000,37100
2020/2/6,37000,37550,37000,37550,10000,37550
2020/2/5,37550,37550,37550,38200,0,38200
2020/2/4,38200,38200,38200,38200,0,38200
2020/2/3,38200,38200,38200,38200,0,38200
2020/1/31,38200,38200,38100,38200,8000,38200
2020/1/30,38100,38100,38100,38100,2000,38100
2020/1/29,38000,38000,38000,38000,2000,38000
2020/1/28,38000,38000,38000,38050,0,38050
2020/1/23,38050,38050,38050,38050,0,38050
2020/1/22,38600,38600,37900,38000,51000,38000
2020/1/21,37800,38000,37800,37950,112000,37950
2020/1/20,37950,37950,37950,38100,0,38100
2020/1/17,38100,38100,38100,38100,1500,38100
2020/1/16,39000,39500,38650,38650,8100,38650
2020/1/15,37050,39200,37050,37450,14600,37450
2020/1/14,36300,39050,36300,39050,5000,39050
2020/1/13,38550,38550,38500,38500,4000,38500
2020/1/10,36550,38000,36550,38000,12000,38000
2020/1/9,35500,35500,35500,35500,5000,35500
2020/1/8,35500,35500,35500,36000,0,36000
2020/1/7,35200,35200,35200,35200,5000,35200
2020/1/6,32100,33000,32100,33000,5500,33000
2020/1/3,40000,40000,35050,35050,5451,35050
2020/1/2,36500,36500,36500,36500,1500,36500
2019/12/30,40000,40000,38100,38100,24939,38100
2019/12/27,37500,37500,37500,37500,35000,37500
2019/12/26,37500,37500,37500,39500,35000,39500
2019/12/24,40950,40950,37050,37050,123744,37050
2019/12/23,40900,40900,40900,40900,5000,40900
2019/12/20,40800,40800,40800,40800,1100,40800
2019/12/19,40800,40800,40800,40800,23000,40800
2019/12/18,40800,40800,40800,40700,0,40700
2019/12/17,40700,40700,40700,40650,80000,40650
2019/12/16,40650,40650,40650,40600,0,40600
2019/12/13,40600,40600,40600,40550,0,40550
2019/12/12,40500,40500,40450,40450,8000,40450
2019/12/11,39850,39900,39850,39900,7000,39900
2019/12/10,39600,39600,39600,39600,7200,39600
2019/12/9,39450,39450,39450,39450,1500,39450
2019/12/6,39450,39450,39450,39250,0,39250
2019/12/5,39250,39250,39250,38950,0,38950
2019/12/4,38950,38950,38950,38350,0,38350
2019/12/3,37700,37700,37700,37700,3000,37700
2019/12/2,37700,37700,37700,37700,1500,37700
2019/11/29,38400,38400,38350,38350,19000,38350
2019/11/28,38050,38200,38050,38150,38500,38150
2019/11/27,39850,39850,38000,38000,33080,38000
2019/11/26,38000,38000,38000,38950,0,38950
2019/11/25,38000,38000,37850,37850,15000,37850
2019/11/22,37500,37500,37300,37500,19000,37500
2019/11/21,36700,36850,36700,36850,23820,36850
2019/11/20,36900,37200,36600,36700,22970,36700
2019/11/19,36500,36550,36300,36550,23200,36550
2019/11/18,36950,36950,36000,36250,16000,36250
2019/11/15,36950,36950,34550,35000,16500,35000
2019/11/14,36700,36750,36700,36750,12280,36750
2019/11/13,36300,36350,36300,36350,14500,36350
2019/11/12,35600,35750,35600,35750,11500,35750
2019/11/11,35300,35500,35300,35500,4300,35500
2019/11/8,35000,35000,35000,35000,3000,35000
2019/11/7,34800,34800,34800,34800,3000,34800
2019/11/6,34600,34600,34550,34600,14000,34600
2019/11/5,34250,34300,34250,34300,7000,34300
2019/11/4,34100,34150,34100,34150,5593,34150
2019/11/1,33950,34000,33950,34000,6500,34000
2019/10/31,33900,33950,33900,33950,29000,33950
2019/10/30,33850,34000,33850,33900,19509,33900
2019/10/29,33550,33700,33500,33650,23900,33650
2019/10/28,33250,33400,33250,33400,16000,33400
2019/10/25,33150,33200,33150,33150,6000,33150
2019/10/24,32950,33050,32950,33000,8500,33000
2019/10/23,32950,32950,32900,32900,8000,32900
2019/10/22,32850,32900,32850,32900,15500,32900
2019/10/21,32800,32850,32800,32800,5000,32800
2019/10/18,32750,32750,32750,32750,4500,32750
2019/10/17,32700,32700,32700,32700,7000,32700
2019/10/16,32650,32700,32650,32700,6000,32700
2019/10/15,32650,32650,32650,32650,5000,32650
2019/10/14,32550,32550,32550,32550,5000,32550
2019/10/11,32350,32500,32300,32500,10107,32500
2019/10/10,32150,32200,32150,32200,8000,32200
2019/10/8,32100,32100,32100,32100,4500,32100
2019/10/7,32000,32050,32000,32050,6000,32050
2019/10/4,31950,31950,31950,31950,4000,31950
2019/10/2,31900,31900,31900,31900,3501,31900
2019/10/1,31850,31850,31850,31850,1500,31850
2019/9/30,31850,31850,31700,31850,48823,31850
2019/9/27,31750,31850,31750,31850,28216,31850
2019/9/26,31700,32000,31600,31750,20000,31750
2019/9/25,31550,31550,31350,31550,63399,31550
2019/9/24,31500,31600,31500,31550,15500,31550
2019/9/23,31500,31500,31150,31400,13000,31400
2019/9/20,31100,31100,30900,31100,10584,31100
2019/9/19,30850,30850,30850,30850,21500,30850
2019/9/18,30650,30750,30650,30750,7000,30750
2019/9/17,30550,30650,30550,30650,6500,30650
2019/9/16,30300,30500,30300,30500,4500,30500
2019/9/11,30250,30250,30250,30250,6000,30250
2019/9/10,30150,30150,30150,30150,4500,30150
2019/9/9,30100,30100,30100,30100,4500,30100
2019/9/6,30000,30000,30000,30000,4500,30000
2019/9/5,29900,29900,29900,29900,4500,29900
2019/9/4,29950,30000,29950,30000,4500,30000
2019/9/3,29700,29700,29700,29700,4500,29700
2019/9/2,29650,29650,29650,29650,1500,29650
2019/8/30,29800,29900,29800,29850,47800,29850
2019/8/29,29700,29850,29700,29750,51500,29750
2019/8/28,29600,29600,29600,29600,15000,29600
2019/8/27,29550,29600,29500,29500,20000,29500
2019/8/26,29500,29600,29500,29600,8000,29600
2019/8/23,29250,29300,29250,29300,54500,29300
2019/8/22,29200,29200,29200,29200,3500,29200
2019/8/21,29100,29100,29000,29000,6500,29000
2019/8/20,29700,29800,29000,29000,6500,29000
2019/8/19,29650,29800,29650,29800,3500,29800
2019/8/16,30200,30200,29600,29600,3500,29600
2019/8/14,30200,30200,30200,30200,3000,30200
2019/8/13,29050,29050,29050,29050,1500,29050
2019/8/12,28850,29000,28850,29000,3500,29000
2019/8/9,28750,28750,28750,28750,3500,28750
2019/8/8,28700,28700,28700,28700,3500,28700
2019/8/7,28700,28700,28650,28650,3500,28650
2019/8/6,28700,28700,28700,28700,4500,28700
2019/8/5,28650,28650,28650,28650,3500,28650
2019/8/2,28600,28600,28600,28600,3500,28600
2019/8/1,28600,28600,28600,28550,0,28550
2019/7/31,28650,28650,28550,28550,74000,28550
2019/7/30,28600,28600,28600,28600,15000,28600
2019/7/29,28500,28550,28500,28550,8000,28550
2019/7/26,28500,28500,28500,28500,5000,28500
2019/7/25,28500,28550,28500,28500,11500,28500
2019/7/24,28450,28550,28450,28500,8500,28500
2019/7/23,28450,28450,28400,28400,7000,28400
2019/7/22,28450,28450,28400,28400,9500,28400
2019/7/19,28400,28400,28350,28400,9000,28400
2019/7/18,28350,28350,28350,28350,1500,28350
2019/7/17,28300,28300,28300,28300,7000,28300
2019/7/16,28250,28300,28250,28250,13000,28250
2019/7/15,28200,28200,28200,28200,4000,28200
2019/7/12,28200,28200,28200,28200,4000,28200
2019/7/11,28200,28200,28200,28200,3000,28200
2019/7/10,28200,28200,28200,28200,2000,28200
2019/7/9,28200,28200,28200,28200,1500,28200
2019/7/8,28200,28200,28200,28200,3000,28200
2019/7/5,28150,28150,28150,28150,5000,28150
2019/7/4,28150,28150,28150,28150,1500,28150
2019/7/3,28100,28100,28100,28100,6000,28100
2019/7/2,28150,28150,28150,28150,1500,28150
2019/7/1,28100,28150,28100,28150,2000,28150
2019/6/28,28100,28100,28100,28100,4000,28100
2019/6/27,28100,28100,28100,28500,0,28500
2019/6/26,28500,28500,28500,28500,8500,28500
2019/6/25,28500,28500,28500,28500,0,28500
2019/6/24,28500,28500,28500,28500,0,28500
2019/6/21,28500,28500,28500,28500,500,28500
2019/6/20,28500,28500,28500,28300,0,28300
2019/6/19,28300,28300,28300,28300,0,28300
2019/6/18,28200,28300,28200,28300,2000,28300
2019/6/17,28300,28300,28300,27800,0,27800
2019/6/14,27800,27800,27800,27800,1000,27800
2019/6/13,27800,27800,27800,27500,0,27500
